price,price_before_discount,raw_discount,discount_percentage,name,image,sold,historical_sold,shop_name,itemid,shopid,rating_star,rating_count,shop_location,stock
13.5,25.0,71,71%,⭐🇸🇬 3C PD 40W 66W Super Fast Charging Powerbank 20000mAh/30000mAh Power Bank Qc3.0 Charger Support Portable Charge 移动电源,https://down-sg.img.susercontent.com/file/sg-11134207-7rdw3-mdr91n0fqkntc5,606,20000,Star convenience store,19835457713,822004989,4.735054347826087,16192,SG,1
284.89,349.0,18,18%,"Apple AirPods Pro (2nd generation, 2023) with MagSafe Charging Case (USB‑C)",https://down-sg.img.susercontent.com/file/ebd07d2c450ee28241f4f02ea31dd1af,598,50000,Apple Flagship Store,23653850713,442800909,4.927163667523565,30344,SG,1
9.99,23.99,58,58%,LionShield Magnetic iPhone 17 Pro Max/17 Pro/17/17 Air/16 Pro Max/16 Pro/16e/16 Plus/16/15/14/13/12/11 Case Casing Cover,https://down-sg.img.susercontent.com/file/sg-11134207-824hp-mejsmq0hpjida6,579,20000,LionShield,10160580081,75632239,4.8469155626923595,14946,SG,1
1.99,5.45,63,63%,Airpods Case For Pro3/Pro 2/Gen4/Gen3/Gen2 Silicone Cover,https://down-sg.img.susercontent.com/file/cn-11134207-7ras8-m73spgbwdicc46,570,10000,GeGa Apple Airpods Cases Covers,7746657451,135026031,4.806216931216931,9072,Mainland China,1
5.86,8.72,33,33%,Universal Stylus Pen for Android/iOS - 5-Color Capacitive Touch Screen Tablet Pencil,https://down-sg.img.susercontent.com/file/sg-11134201-821e3-mggf8uhhlvkfdd,565,2000,Shopee Choice Global,29780102712,1006220784,4.795825631546519,25968,Mainland China,1
2.69,6.08,56,56%,For Samsung Galaxy A17 A07 A16 A56 A36 A15 A55 A35 A14 A34 A54 A26 A25 A05s A13 A23 A53 A52 A51 S25 FE 5G HD Anti Blue Light Privacy One-Click Easy Installation Tempered Glass Screen Protector,https://down-sg.img.susercontent.com/file/sg-11134201-7rffw-m44cch3r74u916,560,8000,baideng.3C,19690184671,469680407,4.723368583956668,15508,Mainland China,1
2.03,3.16,36,36%,20Pcs Cable Organizer Clips Cable Management Desktop & Workstation Wire Manager Cord Holder,https://down-sg.img.susercontent.com/file/sg-11134201-821de-mggf902uaoeh73,559,2000,Shopee Choice Global,24424921281,1006220784,4.763100712517055,39580,Mainland China,1
5.0,7.0,29,29%,Baseus Magnetic Cable Clip Organizer Desktop Managemen USB Cord Holder Organizer,https://down-sg.img.susercontent.com/file/cn-11134207-7r98o-lt52xkx2e7cddf,558,20000,Baseus Official Store,2634078291,131198971,4.768428571428571,14000,SG,1
16.9,16.9,0,,iWalk Minimalist Headphone Desk Display Stand,https://down-sg.img.susercontent.com/file/sg-11134207-7rdxm-mchjgao6tu5i37,551,6000,Metapod Official Store,22049216083,349476935,4.933892969569779,3812,SG,1
1.2,1.2,0,,[SG Stocks]Travel Adapter / Universal Power Adaptor /Wall Plug / UK / AUS / NZ / CHN / US / JPN / EU,https://down-sg.img.susercontent.com/file/sg-11134207-7rdvr-lzey2wxo373eb1,531,9000,Superfactory.SG,28309159440,495768773,4.864457831325301,664,SG,1
8.8,15.98,76,76%,SMATRUL Tuya Smart Plug Socket WiFi 20A 16A Wireless Multi Usb Plug Adapter 3 Pin Power Track Timer Plug Socket Smart Home Voice Google Amazon Alexa,https://down-sg.img.susercontent.com/file/cn-11134207-7ras8-m34d184bxe23b9,522,20000,SMATRUL Brand Official Store,6737107490,116701656,4.914601018675722,11780,SG,1
1623.0,1899.0,16,16%,Apple iPhone 16 Pro Max,https://down-sg.img.susercontent.com/file/sg-11134301-7repv-m8oow0ecx18x69,501,10000,Apple Flagship Store,24635718422,442800909,4.914893617021277,8344,SG,1
6.69,6.69,0,,ICC Europe & UK(EU-D+) 3-30 Days Unlimited Data SIM Card (Turkey/Balkans Included*),https://down-sg.img.susercontent.com/file/sg-11134207-821eh-mgj3wxeb1iq551,487,20000,International Card Center,1762124282,22502375,4.867987446057278,10196,SG,1
7.99,19.99,60,60%,"(SG) Lionshield Samsung Tempered Glass Screen Protector, Compatible w S25 Ultra/S25 Plus/FE/S24/S23/S22/S21 FE/Note 20",https://down-sg.img.susercontent.com/file/sg-11134207-7ra22-m4o2343jmpc8a7,475,10000,LionShield,23420038662,75632239,4.694521585458218,7922,SG,1
2.26,5.13,70,70%,Vention | Romoss USB Type C Cable 3A Fast Charging Cable Compatible With Xiaomi,https://down-sg.img.susercontent.com/file/sg-11134201-22120-l9coa7immjlv69,474,2000,Cybernetics Tech Official,22814306070,883743929,4.88715953307393,1028,SG,1
3.19,3.19,3,3%,ICC_eSIM Malaysia 1-30 Days Unlimited 5G/4G Data SIM/Malaysia eSIM/No daily limit| eSIM Malaysia,https://down-sg.img.susercontent.com/file/sg-11134207-7rdyb-mcnd7e1ktro489,473,3000,International Card Center,14498156180,22502375,4.86731843575419,1432,SG,1
12.99,29.99,65,65%,LionShield iPad 11th Generation A16/10th Gen/Air 7/ 6 11/13 inch M3 M2/Air 5/4/10.2/Pro 11/13 M5 M4 /12.9/Mini 7/6 Case,https://down-sg.img.susercontent.com/file/sg-11134207-7rffc-m45ksp6ss38w09,457,5000,LionShield,26670483781,75632239,4.8175675675675675,2664,SG,1
8.99,11.99,73,73%,OKONZ iPhone 17 Pro Max/16 Pro/15 Pro Max/15 Pro/14 Pro Max/14 Pro/11 Camera Lens Protector Cover Tempered Glass,https://down-sg.img.susercontent.com/file/sg-11134207-825b0-meu7737h9o93de,443,7000,Okonz Official Store,6431531692,20545947,4.837964942283027,4678,SG,1
0.55,0.55,0,,3 pin Adapter plug For china electrical  UK PLUG XXX,https://down-sg.img.susercontent.com/file/sg-11134207-7r9b6-llbxi7ollr9ud2,400,10000,DA ZHONG FA SUPPLY 大中发,22553914221,101475186,4.962962962962963,162,SG,1
