Title,Video Link,Views,Channel Link
Best camera phones under 40000 #shorts #photography #cameraphone #review #under40000 #viral #short,https://www.youtube.com/shorts/aIokBHUqU5s,73K views,https://www.youtube.com/@TheTechy05
Top 5 Best Flagship Phones under 40000 2025 | Best phone under 40000 | best phones under 40000 |,https://www.youtube.com/shorts/psAocBH1-J4,68K views,https://www.youtube.com/@_Techdeepak01
Top 5 Best Oppo Mobiles Under 40000,https://www.youtube.com/shorts/Kpn0lgUqjHI,16K views,https://www.youtube.com/@KnowledgeBySumit786
Top 5 Best Flagship Phones under 40000 2025 | Best phone under 40000 | best phones under 40000 |,https://www.youtube.com/shorts/AIDST4igQag,14K views,https://www.youtube.com/@_Techdeepak01
৪০ হাজারে সেরা ফোন কারা? 40k to 45k Best Phone 2025,https://www.youtube.com/watch?v=X3XTBdscxC4&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,464K views,https://www.youtube.com/@ATCAndroidToToCompany
TOP 5 Best Camera Smartphone Under 35000/- #shorts #viral #smart,https://www.youtube.com/shorts/TW7bB6SLDro,119K views,https://www.youtube.com/@DigitaltechHub10
TOP 5 Best Gaming Phone Under 40000/- In 2025 | Realtech,https://www.youtube.com/shorts/VvJBBwyeMRE,43K views,https://www.youtube.com/@Realtech_
"Top 5 Best 5G Phones Under 40,000 In April 2024 | Best Phones Under 40,000 🚀⚡",https://www.youtube.com/shorts/1TLUqmErG6o,551K views,https://www.youtube.com/@BablusTechThunderbolt
Best Camera Smartphone under 40k #techbyakram #techreview,https://www.youtube.com/shorts/C8uFxXtP5Vo,115K views,https://www.youtube.com/@techbyakram
"Top 3 best Smartphones Under 40,000 BDT in 2025 | Best Phones in Budget! #techwithmonir",https://www.youtube.com/shorts/hUy8lzVWgAw,348K views,https://www.youtube.com/@TechwithMonirofficial
"Top 10 best camera phone under 40,000",https://www.youtube.com/shorts/Eu1zGcesjDo,148K views,https://www.youtube.com/@Thetoplist-1
"🔥 Best Phone Under 40K? Performance Beast, Camera King & 2nd Hand Hero!",https://www.youtube.com/shorts/qQFdG9ttIPg,150K views,https://www.youtube.com/@techbyakram
TOP 5 Best Phone Under 40000/- In January 2025 | Realtech,https://www.youtube.com/shorts/sv2d13nPIVQ,156K views,https://www.youtube.com/@Realtech_
Samsung A56 Review : খালি মাঠে গোল আর কতদিন?,https://www.youtube.com/watch?v=pvfBcQOmjhE&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,594K views,https://www.youtube.com/@ATCAndroidToToCompany
Best Phones Under 40000 October 2025 |Top 5 Best Mobiles Under 40000,https://www.youtube.com/watch?v=j-AyVl11MQ0&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,37K views,https://www.youtube.com/@UnlearnandEvolve
TOP 5 Best Camera Smartphone Under 40000/- In May 2025 | Realtech,https://www.youtube.com/shorts/KLdJjFH9l54,18K views,https://www.youtube.com/@Realtech_
TOP 5 : Best Samsung phones under 40000 to 50000 rupees in india | March 2025,https://www.youtube.com/watch?v=ZtySBbhgZJw&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,11K views,https://www.youtube.com/@Tech.Inventionz
Best iPhone Under 40K #phone #techtech #smartphone #unboxing #iphoneunbox #tech,https://www.youtube.com/shorts/BdGyZejgIug,230K views,https://www.youtube.com/@TechyAddi
"The Best Phone Under 40,000 Right Now!",https://www.youtube.com/watch?v=MNjA-2JxKm8&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,248K views,https://www.youtube.com/@techwiser
"Best Phones under Rs 40000 (Q2 2025) - Watch This Video Before Buying a Phone Under Rs 40,000!",https://www.youtube.com/watch?v=Up-EDPMya4I&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjXSBwkJBgoBhyohjO8%3D,562K views,https://www.youtube.com/@TrakinTechEnglish
"""২০২৫ সালের সেরা ৫টি Flagship Killer ফোন 💥 | Best Smartphone Under 40000 Taka in Bangladesh""",https://www.youtube.com/watch?v=IwuzK0E6Hgk&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,33K views,https://www.youtube.com/@phonefusebd
Best Smartphones under 40000 in India | #shortsfeed #short #shorts #smartphone #shortsvideo,https://www.youtube.com/shorts/h_bMy0wVf8o,158K views,https://www.youtube.com/@oceanofdeals
TOP 5 Best Flagship Phone Under 40000/- In April 2025 | Realtech,https://www.youtube.com/shorts/GqkQUPE-NoI,166K views,https://www.youtube.com/@Realtech_
"Top 5 Best Camera Phones Under 40,000/- In November 2024 | Best Flagship Camera Phone Under 40K",https://www.youtube.com/shorts/LxJ0tqzrprY,76K views,https://www.youtube.com/@BablusTechThunderbolt
"বাজেট যাই হোক, ২০২৫ এ সবার জন্য সেরা ফোন!  😎",https://www.youtube.com/watch?v=Rv5geZC4WpE&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,574K views,https://www.youtube.com/@ATCAndroidToToCompany
TOP 5 : Samsung Phones under 30000 rupees to 40000 rupees in india | February 2025,https://www.youtube.com/watch?v=-83mHpXnI1Q&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,15K views,https://www.youtube.com/@Tech.Inventionz
Xiaomi Note 14 Pro+ VS Honor 400 5G || Which one should you buy?,https://www.youtube.com/watch?v=bD-nuoQ3QgM&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,79K views,https://www.youtube.com/@RatulOsmantech
"Top 5 Smartphones under 50K 2025: Honor 400, Redmi K80 Ultra, More! | Top 5 Best Smartphone at 50K",https://www.youtube.com/watch?v=wNUcJPkUvI8&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,23K views,https://www.youtube.com/@techversebd
best 3 phones in bangladesh  under 40000 #shorts #viralvideo #bestphone,https://www.youtube.com/shorts/wEUNOQJlaqQ,15K views,https://www.youtube.com/@techtmshorts87
"Ranking Best Samsung Phone to buy under ₹40,000! 🤩 #shorts",https://www.youtube.com/shorts/Tm2ALj3SdaA,1.3M views,https://www.youtube.com/@itstechade
Tecno Camon 40 Pro : Best Official Camera Phone?,https://www.youtube.com/watch?v=qOoP2orb3Lg&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,877K views,https://www.youtube.com/@ATCAndroidToToCompany
"Ranking Best OnePlus Phones under ₹30,000! #shorts",https://www.youtube.com/shorts/9lvUbC04x10,225K views,https://www.youtube.com/@itstechade
Top Four Gaming Phone under 40k #techbyakram #techreview,https://www.youtube.com/shorts/UWQiD8ZOxdA,33K views,https://www.youtube.com/@techbyakram
S24 FE 8GB+256GB#samsung,https://www.youtube.com/shorts/ngx4S1mB2lk,1.8M views,https://www.youtube.com/@masterpino
Realme Neo 7 Comes with 7000mAh Battery ।। Unboxing #smartphone #samzone,https://www.youtube.com/shorts/7yIzdXW-Ods,3.1M views,https://www.youtube.com/@SamZonebd
"Top 3 Best smartphones under 30,000 BDT  #techwithmonir",https://www.youtube.com/shorts/yc_HcOcBMnE,453K views,https://www.youtube.com/@TechwithMonirofficial
Top 5 Samsung Phone Under 40000 | Samsung Phone Under 40000 in 2022|Best Samsung Phone Under 40000,https://www.youtube.com/watch?v=nIPkG6gzWIw&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,362K views,https://www.youtube.com/@TechMaan22
The Best Compact Phone of 2025! *Surprise*,https://www.youtube.com/shorts/HutmgDFZSGQ,562K views,https://www.youtube.com/@techwiser
Top 5 Smartphone Around 35K Price Point! গেমিং + ক্যামেরা !,https://www.youtube.com/watch?v=FfDSoqtEAzw&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,600K views,https://www.youtube.com/@SamZonebd
Oppo Reno 14 vs Vivo V60 - Best Phone Under 40K! #opporeno14 #vivov60 #smartphonecomparison #tech,https://www.youtube.com/shorts/ifp7KyQDYM8,300K views,https://www.youtube.com/@TechyKiran
Realme 10 Pro Plus 🔥,https://www.youtube.com/shorts/I4eoBZcXsrE,28M views,https://www.youtube.com/@TrendingTechShorts
TOP 5 Best Phone Under 40000/- In May 2025 | Realtech,https://www.youtube.com/shorts/8ujSbOvxdwQ,18K views,https://www.youtube.com/@Realtech_
TOP 5 Best Phone Under 40000/- In February 2025 | Realtech,https://www.youtube.com/shorts/u1yqS4eLjFE,80K views,https://www.youtube.com/@Realtech_
Oppo Reno 14 vs Galaxy S24 FE vs Vivo T4 Ultra | Best Camera Phones?,https://www.youtube.com/shorts/hb6CGaIAdiQ,1.1M views,https://www.youtube.com/@Real-Softech
vivo x200 vs iphone 15 camera test // best camera phone #shortfeed #shorts #shortvideo,https://www.youtube.com/shorts/ozzJEqOWFvA,276K views,https://www.youtube.com/@Kundangaming62
Which Phone is REALLY Waterproof? (Spoiler: One Died Instantly) 💀,https://www.youtube.com/shorts/2iL9__yAbzU,3.8M views,https://www.youtube.com/@Mobilevelo
Oppo Reno 14 vs Vivo T4 Ultra Zoom Test 🔥,https://www.youtube.com/shorts/lx6GmfMdz88,1.8M views,https://www.youtube.com/@Real-Softech
"Top 10 best gaming phones under 40,000",https://www.youtube.com/shorts/XT7tb0YNmso,79K views,https://www.youtube.com/@Thetoplist-1
Best Flagship Phones under 40000 Rupees india 2025 #shorts,https://www.youtube.com/shorts/a91Gq-fYYuI,7.9K views,https://www.youtube.com/@Tech.Inventionz
Don't ❌ Miss these 3 Flagships☠️ phones under ₹40000,https://www.youtube.com/shorts/kzGSl-_DvjI,447K views,https://www.youtube.com/@Techular-369
Oneplus 13s vs Samsung galaxy s25 camera comparison || s25 || Oneplus 13s || #comparison #ytshorts,https://www.youtube.com/shorts/7W_HBYrvto0,3.3M views,https://www.youtube.com/@Personalising-tech
TOP 5 Best Camera Phone Under 40000/- In February 2025 | Realtech,https://www.youtube.com/shorts/rt2fPL6nkL4,80K views,https://www.youtube.com/@Realtech_
iQOO 13 vs iPhone 15 - Ultimate Comparison #iQOO13 #iPhone15 #iQOO13vsiPhone15,https://www.youtube.com/shorts/DLyJwgxGDmc,2.6M views,https://www.youtube.com/@TechyKiran
Top 5 Best Camera & Gaming Phone Under 40000 In 2025⚡Best 5G Smartphone Under 40k,https://www.youtube.com/watch?v=fTz9rW8jyn4&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,4.9K views,https://www.youtube.com/@riteshjeph
OPPO Reno 14 Unboxing,https://www.youtube.com/shorts/Gl6T-KM6Orc,1.4M views,https://www.youtube.com/@techdiariez
Best Phones Under 40K in 2025!#techwithmonir,https://www.youtube.com/shorts/39NSGr0HFpA,127K views,https://www.youtube.com/@TechwithMonirofficial
The best gaming phone..🗿. poco F4 gt.#pocof4gt #pocox3handcam #smartphone #bgmi #pubgmobile #pocox,https://www.youtube.com/shorts/5tvjRSkyTlo,442K views,https://www.youtube.com/@MrFriezagaming
Vivo X200 Vs Vivo V40 Pro 🔥 || Camera Test 😎 || #cameratest #vivo #x200 #v40pro,https://www.youtube.com/shorts/RdfDnScgSXo,6.5M views,https://www.youtube.com/@rishabhs_tech3331
"Samsung S24 Unboxing at Rs. 37,000 -Flipkart Sale Unit | Best Phone Under 40000",https://www.youtube.com/shorts/T2U3hfyevBY,112K views,https://www.youtube.com/@Sahejsain
iqoo neo 10 vs poco f7 detailed comparison || Best gaming phones under 35000 #shorts,https://www.youtube.com/shorts/FRA1hJ7ZTIk,239K views,https://www.youtube.com/@dealsbox96
20K To 50K Smartphone Buying Guide,https://www.youtube.com/watch?v=B09q4McmrnQ&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,65K views,https://www.youtube.com/@PCBuilderBangladesh
৩০-৬০ হাজারে Used iPhone কিনবেন?👀Best Used Iphone গুলো দেখে নিন এই ভিডিওতে!🔥,https://www.youtube.com/watch?v=DLqeUa6svG0&t=405s&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,28K views,https://www.youtube.com/@TechShibly
Best Camera phone under 40000 india for june 2025,https://www.youtube.com/watch?v=XjrW6vihOBc&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjXSBwkJBgoBhyohjO8%3D,10K views,https://www.youtube.com/@Tech.Inventionz
nothing Phone 3a pro camera 📸,https://www.youtube.com/shorts/lwCzPu0a2aI,1.8M views,https://www.youtube.com/@digitalpronab5763
Should you buy Samsung Galaxy S25 #galaxys25 #smartphone #tech,https://www.youtube.com/shorts/A4kI8yo9mnY,1.1M views,https://www.youtube.com/@noistech
OnePlus 12 VS Samsung S23 Ultra Zoom Test 🔥 100X VS 100X Zoom #shorts #samsung #PlayGalaxy,https://www.youtube.com/shorts/ykiv5rupMvU,4.6M views,https://www.youtube.com/@Techoob
All Google pixel phone price in BD 2025🔥used Google pixel mobile price in BD💥second hand Googlepixel,https://www.youtube.com/watch?v=ctdEBUOR6CM&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,2.7K views,https://www.youtube.com/@GodhuliVlogs
Oppo Reno 14 vs Vivo V60 - Best Phone Under 40K! #opporeno14 #vivov60 #smartphonecomparison #tech,https://www.youtube.com/shorts/ifp7KyQDYM8,300K views,https://www.youtube.com/@TechyKiran
New VIVO V40 5G phone Quick Review Unboxing shorts video full curved display 5G phone #shorts #video,https://www.youtube.com/shorts/S30QiqVomY0,995K views,https://www.youtube.com/@Tech_unboxing8826
Samsung Galaxy S25 Ultra VS Huawei Pura 70 Ultra Live Moon Zoom Test,https://www.youtube.com/shorts/KhLCCYrdLH4,457K views,https://www.youtube.com/@BoringHistoryForSleepsss
Top 5 Gaming Phones under 40000 #shorts,https://www.youtube.com/shorts/c_ExZ4ah490,8.7K views,https://www.youtube.com/@MrBondGamer
Vivo V27 PrOo Unboxing@aashishraj2817,https://www.youtube.com/shorts/yynpNZyTDt0,17M views,https://www.youtube.com/@MIK_TECH
OnePlus Deals for you ! #shorts,https://www.youtube.com/shorts/kjNsf7aro10,3.5M views,https://www.youtube.com/@GyanTherapy
৫০ হাজারে সেরা ৫ ফোনঃ Top 5 Phones Under 50K (September-25),https://www.youtube.com/watch?v=E5vAVl_5fmw&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,51K views,https://www.youtube.com/@TechtothePointTTP
"Top 3 Best Smartphones Under 40,000 BDT in 2025 | Best Phones in Budget? #mtechnology",https://www.youtube.com/shorts/Z8D6TJsepvY,18K views,https://www.youtube.com/@MTechnologyBd
Honor 200 VS Nothing 3A Camera Comparison🔥৩৫ হাজারে ক্যামেরা রাজা কে?🤔,https://www.youtube.com/watch?v=6D0OYaqBs-c&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,62K views,https://www.youtube.com/@TechShibly
"Top 3 Best Camera phones Under ₹30,000 to ₹35,000",https://www.youtube.com/shorts/D2viq6j-cUA,137K views,https://www.youtube.com/@Real-Softech
Moto Edge 60 Fusion vs Moto Edge 60 Stylus! #motoedge60fusion #motoedge60stylus #comparison #tech,https://www.youtube.com/shorts/2VeNtGgflDU,2.9M views,https://www.youtube.com/@TechyKiran
Oppo Reno 14 vs Vivo V60 - Best Phone Under 40K! ,https://www.youtube.com/shorts/3f04OsPspGU,121K views,https://www.youtube.com/@computermobiletips
IS the Google Pixel 7 Pro STILL Worth Buying in 2025?,https://www.youtube.com/shorts/AwK43x2xapc,78K views,https://www.youtube.com/@TheHardwareHackerAk
All Flagship Used Mobile Price In Bangladesh 🔥 Used phone price in Bangladesh 2025,https://www.youtube.com/watch?v=hA1aOZgyH9c&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,8K views,https://www.youtube.com/@FahadAkonVlogs
Nothing Phone (2) 🔥 512GB,https://www.youtube.com/shorts/YHzwenE3_E8,1.1M views,https://www.youtube.com/@Gizbot
Top 5 Best Flagship Phones Under 35000 | Best Phone Under 35000 | Best Phones Under 35000 | Deepak,https://www.youtube.com/shorts/oeo8axGMunE,285K views,https://www.youtube.com/@_Techdeepak01
Pixel 9 is BETTER than iPhone in 2025? #viraltech,https://www.youtube.com/shorts/6V_t9QpNK9k,198K views,https://www.youtube.com/@Twist_Tech
Tecno Camon 40 Pro & Infinix Note 50 Pro Side by side in hand review #smartphone #tech,https://www.youtube.com/shorts/ZUxajGWfbRQ,707K views,https://www.youtube.com/@RakibBDVlog1990
Top 5 Best Flagshipkiller Phones under 30000 | Best phone under 30000 | Best phones under 30000 |,https://www.youtube.com/shorts/Vx0tE_LkpEk,585K views,https://www.youtube.com/@_Techdeepak01
Most powerful Phone Under 30K🔥 iQOO Neo 10 5G Unboxing,https://www.youtube.com/shorts/AXniwNtwvVo,890K views,https://www.youtube.com/@SisTechbanna
TOP 5 Best Camera Phone Under 40000/- In February 2025 | Realtech,https://www.youtube.com/shorts/rt2fPL6nkL4,80K views,https://www.youtube.com/@Realtech_
Top 5 best camera phone under 40k in 2025 🔥best phone under 40000 ! #cameraphone #shorts #satya07,https://www.youtube.com/shorts/Laqy8MOmNyA,25K views,https://www.youtube.com/@Satya07-p6x
ViVO T4 Ultra 100X zoom Photography Test Best Phone Under Budget 2025 #vivot4ultra,https://www.youtube.com/shorts/p74fqK6DKvM,379K views,https://www.youtube.com/@GourabNill
20K To 50K Smartphone Buying Guide,https://www.youtube.com/watch?v=B09q4McmrnQ&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,65K views,https://www.youtube.com/@PCBuilderBangladesh
Best Camera phone under 40000 india for june 2025,https://www.youtube.com/watch?v=XjrW6vihOBc&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,10K views,https://www.youtube.com/@Tech.Inventionz
POCO F7 vs iQOO Neo 10 | Best Gaming Phone Under 30000 in 2025 #shorts,https://www.youtube.com/shorts/aFmBD_8ePZ4,164K views,https://www.youtube.com/@MrTechnical
TOP 5 Best Phone Under 40000/- In February 2025 | Realtech,https://www.youtube.com/shorts/u1yqS4eLjFE,80K views,https://www.youtube.com/@Realtech_
Infinix NOTE 40 Pro+ 5G Unboxing (Obsidian Black),https://www.youtube.com/shorts/bthW8k3as9k,6.9M views,https://www.youtube.com/@PinoyMetroGeek
"Top 5 Phones Under ₹40,000 |  #topphones #smartphone #tech #bestphoneunder40000",https://www.youtube.com/shorts/xcaJKRHoPZI,11K views,https://www.youtube.com/@Digit
Xiaomi 14 civi vs iPhone 15  Camera Test 🔥,https://www.youtube.com/shorts/FD_1ZyS38gk,2.8M views,https://www.youtube.com/@Real-Softech
Samsung A35 vs OnePlus Nord 4 Camera Test,https://www.youtube.com/shorts/Nj3WvKHBhrA,1.6M views,https://www.youtube.com/@mobilepapa
Realme Mobile🔥Price in Bangladesh 2025 | Best Mid Range Phones | Realme 15 Series Full Specs Review,https://www.youtube.com/watch?v=Xhr6i6FgeP0&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjXSBwkJBgoBhyohjO8%3D,4.7K views,https://www.youtube.com/@MithuVlogsbd
Best Gaming Phone Under 25k?😈 @Fugitiv3og #shorts #infinixgt20pro #infinixgt30pro #iqooneo10r,https://www.youtube.com/shorts/V9kn3GzKQoc,1M views,
"Best Camera Phone Under 40,000 | Winner ??",https://www.youtube.com/shorts/JBRVjYZ_C_w,320K views,https://www.youtube.com/@SauravAnuraj
Samsung s25 ultra vs motorola edge 50 ultra camera test || comparison || #new #ytshorts #shorts,https://www.youtube.com/shorts/4ExIKzIUdkw,3.1M views,https://www.youtube.com/@Personalising-tech
Best Flagship Phones Under ₹40000 in 2025 🚀 | Real Flagship Killers! 🔥 #shorts,https://www.youtube.com/shorts/FUi1hh69DRw,157K views,https://www.youtube.com/@TechieBist
"two best Samsung phones you take 2024 🔥🥵 #shorts || you want to earn money check description, ￼￼",https://www.youtube.com/shorts/eTgmExGFrdg,14M views,https://www.youtube.com/@manishDhumale-fn5in
New Moto edge 60 Pro 5g Launch Unboxing #ytshorts #smartphone #yt #moto #edge60pro #smartphone #5g,https://www.youtube.com/shorts/BaqC2oNevMs,3M views,https://www.youtube.com/@MANASENTERPRISES-1658
Upcoming best gaming phone under 25k (2025)☠️! #shorts #2025,https://www.youtube.com/shorts/j3d8r91fXg8,1M views,https://www.youtube.com/@FactoSachin45
Vivo V50 V/S motorola edge 50 📸 & Zoom Test 🔥🔥😱||#techraj #cameratest #zoomtest,https://www.youtube.com/shorts/WM73ooNhMfY,2.1M views,https://www.youtube.com/@maharajdas5521
Samsung S23 Ultra used mobile phone price in Bangladesh | #rbgadgetbd #under #jamuna #smartphone,https://www.youtube.com/shorts/xd7QfkspP6c,339K views,https://www.youtube.com/@rbgadgetbd5975
vivo X200 Ultra Vs Google Pixel 10 Pro XL #samzone #smartphone,https://www.youtube.com/shorts/4iebYTJs_5U,411K views,https://www.youtube.com/@SamZonebd
৩০-৬০ হাজারে Used iPhone কিনবেন?👀Best Used Iphone গুলো দেখে নিন এই ভিডিওতে!🔥,https://www.youtube.com/watch?v=DLqeUa6svG0&t=405s&pp=ygUpYmVzdCBwaG9uZSB1bmRlciA0MDAwMCBpbiBiYW5nbGFkZXNoIDIwMjU%3D,28K views,https://www.youtube.com/@TechShibly
₹30000 में Flagship Killer Samsung Phones 🤩 #shorts  #techmaster,https://www.youtube.com/shorts/td-p9UorASI,5.7M views,https://www.youtube.com/@techmastershort
Unboxing OnePlus 13s – First-Ever Compact Flagship from OnePlus!,https://www.youtube.com/shorts/ZEEn39Qr39s,1.7M views,https://www.youtube.com/@SmartprixOfficial
Huawei Pura 70 Ultra best camera phone #smartphone #tech #unboxing #technology,https://www.youtube.com/shorts/anX6mOBLvGU,416K views,https://www.youtube.com/@Techmask07
Samsung S24 in BBD Sale,https://www.youtube.com/shorts/4CzdS2HvTTY,395K views,https://www.youtube.com/@RoanetTech
